"q2_clicks","q1_conf_click","q2_gender","q2_training","q2_conf","q2_scrolls","q2_color_blind","q2_time","q1_window_h","q1_a2","q1_a1","q2_condition","q2_calculation_question","q1_time","q1_condition","q1_user_id","q2_conf_click","q1_conf","q1_keydown","q2_window_h","q2_valid","q2_user_id","q1_window_w","q1_correct_a2","q1_correct_a1","q2_window_w","q2_occupation","q1_valid","q1_id","q2_comments","q2_education","q1_scrolls","q1_clicks","q2_id","q2_keydown"
13,1,"Male",1,2,0,"No",30.416,1079,105,8,0,"Yes",134.628,0,2279,0,2,4,1079,"True",2279,1904,103,8,1904,"Computer and Mathematical Occupations","True",20122,"","Professional School",0,6,20123,0
16,1,"Male",3,3,16,"No",20.663,767,1000,10,6,"Yes",99.15,6,2281,0,3,7,767,"True",2281,1349,103,8,1349,"Management Occupations","True",20124,"","Graduate Degree",10,7,20125,0
12,2,"Male",1,4,1,"No",23.394,768,1000,90,0,"No",64.032,0,2282,0,4,12,768,"True",2282,1351,103,8,1351,"Management Occupations","True",20128,"","High School",0,5,20129,0
10,1,"Female",1,5,0,"No",18.624,1335,1000,10,5,"Yes",47.958,5,2284,0,5,7,1335,"True",2284,2545,103,8,2545,"Education, Training, and Library Occupations","True",20132,"","Undergraduate Degree",0,4,20133,0
17,1,"Female",1,1,9,"No",173.069,768,1000,20,4,"No",393.827,4,2286,0,1,10,768,"True",2286,1349,103,8,1349,"Production Occupations","True",20152,"I made a quess. I did not try to compute an exact number.","High School",0,8,20159,59
9,1,"Female",2,2,14,"No",18.135,800,1000,10,5,"No",86.127,5,2287,0,2,6,800,"True",2287,1265,103,8,1265,"Student, Trainee","True",20141,"","High School",0,5,20143,0
13,1,"Male",2,1,19,"No",23.827,767,10,8,0,"No",52.384,0,2288,0,1,4,767,"True",2288,1349,103,8,1349,"Transportation and Material Moving Occupations","True",20140,"","Undergraduate Degree",0,4,20142,0
13,1,"Male",3,3,0,"No",27.823,900,103,8,2,"Yes",118.809,2,2290,0,3,4,900,"True",2290,1585,103,8,1585,"Education, Training, and Library Occupations","True",20144,"","Undergraduate Degree",0,6,20146,0
12,1,"Female",1,3,1,"No",33.987,768,990,90,4,"No",52.64,4,2291,0,3,7,768,"True",2291,1351,103,8,1351,"Education, Training, and Library Occupations","True",20147,"none","Undergraduate Degree",0,4,20148,4
12,1,"Female",1,3,0,"No",23.556,1079,100,8,1,"No",36.32,1,2292,0,3,7,1079,"True",2292,1903,103,8,1903,"Food Preparation and Serving Related Occupations","True",20150,"","High School",0,5,20151,1
13,1,"Female",1,3,0,"No",22.851,1024,10,1,4,"No",79.204,4,2295,0,3,7,1024,"True",2295,1265,103,8,1265,"Office and Administrative Support Occupations","True",20155,"","Undergraduate Degree",0,4,20156,0
11,1,"Male",2,3,1,"No",19.105,800,2,1,4,"No",68.872,4,2296,0,3,3,800,"True",2296,1265,103,8,1265,"Education, Training, and Library Occupations","True",20162,"","Graduate Degree",0,4,20165,0
12,2,"Female",2,5,13,"No",25.768,698,103,8,3,"Yes",148.659,3,2297,0,5,26,698,"True",2297,1242,103,8,1242,"Student, Trainee","True",20169,"","Undergraduate Degree",0,14,20171,1
11,1,"Female",1,3,7,"No",21.772,768,10,6,3,"No",167.396,3,2298,0,3,9,768,"True",2298,1351,103,8,1351,"Education, Training, and Library Occupations","True",20175,"","Graduate Degree",0,5,20179,0
13,1,"Male",1,3,0,"No",20.301,800,1000,10,5,"No",59.952,5,2299,0,3,10,800,"True",2299,1265,103,8,1265,"Student, Trainee","True",20167,"","Undergraduate Degree",1,6,20168,0
8,2,"Male",1,2,0,"No",36.681,1080,1000,9,1,"No",152.11,1,2300,0,2,6,1080,"True",2300,1920,103,8,1920,"Student, Trainee","True",20173,"","Undergraduate Degree",0,7,20180,0
18,2,"Male",2,4,4,"No",48.643,768,1000,10,5,"No",70.466,5,2302,0,4,6,768,"True",2302,1351,103,8,1351,"Education, Training, and Library Occupations","True",20172,"","Undergraduate Degree",0,6,20176,0
11,1,"Male",3,3,0,"No",19.098,1024,10,8,1,"Yes",50.076,1,2303,0,3,3,1024,"True",2303,1263,103,8,1263,"Life, Physical, and Social Science Occupations","True",20174,"","Undergraduate Degree",0,5,20177,0
12,1,"Male",1,5,0,"No",23.009,864,103,8,0,"Yes",97.685,0,2304,0,5,15,864,"True",2304,1137,103,8,1137,"Unemployed, Retired, Homemaker","True",20182,"","High School",0,7,20184,0
9,2,"Male",3,4,2,"No",20.31,800,103,8,3,"No",114.752,3,2305,0,4,5,800,"True",2305,1280,103,8,1280,"Business and Financial Operations Occupations","True",20185,"","Undergraduate Degree",1,7,20186,0
13,1,"Male",1,5,1,"No",64.907,1024,10,8,2,"No",58.146,2,2306,0,5,6,1024,"True",2306,1265,103,8,1265,"Education, Training, and Library Occupations","True",20187,"I just read what i was given didn't bother with the graph","Undergraduate Degree",0,5,20188,59
11,1,"Female",3,3,0,"No",23.169,768,103,8,3,"No",111.396,3,2307,0,3,4,768,"True",2307,1351,103,8,1351,"Business and Financial Operations Occupations","True",20191,"","Undergraduate Degree",0,6,20192,0
13,1,"Male",2,4,0,"No",25.164,900,1000,10,0,"No",62.601,0,2308,0,4,7,900,"True",2308,1425,103,8,1425,"Sales and Related Occupations","True",20195,"","Graduate Degree",0,5,20197,0
19,1,"Male",1,2,0,"No",17.901,1079,200,20,6,"No",30.322,6,2309,0,2,5,1079,"True",2309,1904,103,8,1904,"Community and Social Services Occupations","True",20196,"","Professional School",0,5,20199,0
10,1,"Male",2,2,1,"No",24.319,768,1000,80,2,"Yes",83.927,2,2310,0,2,6,768,"True",2310,1345,103,8,1345,"Other","True",20200,"","High School",0,6,20202,0
11,1,"Female",1,2,0,"Yes",18.962,867,10,5,1,"No",51.561,1,2311,0,2,3,867,"True",2311,1423,103,8,1423,"Unemployed, Retired, Homemaker","True",20201,"","High School",0,5,20203,0
11,1,"Male",2,4,0,"No",25.095,1080,105,8,3,"No",75.155,3,2313,0,4,4,1080,"True",2313,1905,103,8,1905,"Education, Training, and Library Occupations","True",20206,"","Graduate Degree",0,5,20207,0
11,1,"Male",1,1,0,"No",32.888,862,10,8,0,"Yes",139.256,0,2314,0,1,3,862,"True",2314,1519,103,8,1519,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20210,"","Undergraduate Degree",0,5,20213,0
12,1,"Female",4,5,0,"No",106.795,768,1000,10,4,"No",224.735,4,2315,0,5,6,768,"True",2315,1351,103,8,1351,"Computer and Mathematical Occupations","True",20216,"","Graduate Degree",0,6,20225,4
11,1,"Female",1,3,0,"No",39.63,768,1000,20,4,"Yes",154.584,4,2316,0,3,6,768,"True",2316,1351,103,8,1351,"Unemployed, Retired, Homemaker","True",20218,"","Professional School",0,5,20223,0
16,1,"Female",2,4,0,"No",19.171,900,10,8,5,"No",73.979,5,2317,0,4,10,900,"True",2317,1425,103,8,1425,"Business and Financial Operations Occupations","True",20219,"","Undergraduate Degree",0,7,20220,0
10,1,"Male",3,3,4,"No",22.985,768,1000,8,3,"No",113.616,3,2318,0,3,9,768,"True",2318,1351,103,8,1351,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20224,"","High School",9,7,20227,0
12,1,"Female",1,4,0,"No",19.479,922,103,8,6,"Yes",82.043,6,2320,0,4,4,922,"True",2320,1622,103,8,1622,"Unemployed, Retired, Homemaker","True",20228,"","Undergraduate Degree",0,5,20232,0
13,1,"Female",2,3,1,"No",57.13,768,103,8,3,"Yes",132.87,3,2321,0,3,4,768,"True",2321,1351,103,8,1351,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20241,"I didn't quite understand the question asked of me, or how I was meant to state my estimate (should I have done it out of 100?). The answer I came up with seemed too obvious.","Undergraduate Degree",0,8,20243,186
8,1,"Female",2,2,0,"No",32.766,900,1000,8,1,"No",174.191,1,2322,0,2,6,900,"True",2322,1440,103,8,1440,"Life, Physical, and Social Science Occupations","True",20235,"","Undergraduate Degree",0,4,20240,0
13,1,"Female",1,3,0,"No",18.308,900,990,10,6,"No",83.943,6,2324,0,3,36,900,"True",2324,1425,103,8,1425,"Unemployed, Retired, Homemaker","True",20236,"","High School",0,4,20238,0
12,2,"Female",1,3,0,"No",18.634,768,1000,8,6,"No",56.246,6,2325,0,3,6,768,"True",2325,1265,103,8,1265,"Office and Administrative Support Occupations","True",20234,"","Undergraduate Degree",1,6,20237,0
12,3,"Male",2,4,0,"No",28.713,900,100,1,3,"Yes",57.156,3,2326,0,4,9,900,"True",2326,1585,103,8,1585,"Transportation and Material Moving Occupations","True",20242,"None.","Undergraduate Degree",0,6,20244,6
9,1,"Female",3,4,0,"No",17.589,900,10,8,0,"No",32.516,0,2327,0,4,3,900,"True",2327,1440,103,8,1440,"Education, Training, and Library Occupations","True",20246,"","Undergraduate Degree",0,6,20247,0
13,1,"Female",1,3,0,"No",35.115,1023,95,10,0,"No",239.886,0,2329,0,3,15,1023,"True",2329,1263,103,8,1263,"Healthcare Support Occupations","True",20249,"","Undergraduate Degree",0,7,20251,0
10,1,"Male",1,3,0,"No",30.356,1080,103,8,6,"Yes",124.89,6,2330,0,3,4,1080,"True",2330,1905,103,8,1905,"Computer and Mathematical Occupations","True",20255,"","Undergraduate Degree",0,6,20256,0
10,2,"Female",3,3,0,"No",23.173,768,20,1,0,"No",25.145,0,2331,0,3,3,768,"True",2331,1345,103,8,1345,"Unemployed, Retired, Homemaker","True",20253,"","Professional School",0,6,20254,0
11,1,"Female",2,3,13,"No",25.819,767,1000,10,2,"Yes",51.696,2,2332,0,3,7,767,"True",2332,1349,103,8,1349,"Education, Training, and Library Occupations","True",20258,"","Graduate Degree",0,4,20259,0
11,1,"Female",1,2,0,"No",21.024,1050,10,7,3,"No",74.971,3,2333,0,2,3,1050,"True",2333,1665,103,8,1665,"Unemployed, Retired, Homemaker","True",20261,"","High School",0,6,20263,0
10,1,"Female",2,4,1,"No",26.877,768,1000,10,4,"No",72.843,4,2334,0,4,6,768,"True",2334,1351,103,8,1351,"Life, Physical, and Social Science Occupations","True",20264,"","Graduate Degree",0,5,20265,0
13,1,"Male",2,5,0,"No",22.504,1079,1000,10,4,"No",78.954,4,2335,0,5,6,1079,"True",2335,1903,103,8,1903,"Education, Training, and Library Occupations","True",20267,"","Graduate Degree",0,6,20270,0
14,1,"Male",1,3,0,"Yes",30.125,1057,990,10,5,"No",59.853,5,2338,0,3,12,1057,"True",2338,1903,103,8,1903,"Production Occupations","True",20271,"","High School",0,6,20272,1
17,2,"Female",2,5,0,"No",55.384,1050,103,1,3,"No",136.287,3,2339,0,5,12,1050,"True",2339,1385,103,8,1385,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20274,"I just used the statistics provided. I didn't know what else to go on.","Undergraduate Degree",0,7,20276,74
11,2,"Female",1,3,1,"No",31.405,768,100,1,1,"No",91.703,1,2340,0,3,13,768,"True",2340,1351,103,8,1351,"Healthcare Support Occupations","True",20275,"","Undergraduate Degree",0,8,20278,0
14,1,"Female",1,5,0,"No",46.095,959,1000,103,6,"No",44.339,6,2341,0,5,7,959,"True",2341,1263,103,8,1263,"Food Preparation and Serving Related Occupations","True",20281,"","High School",0,5,20284,0
12,1,"Male",3,4,0,"No",23.126,899,103,8,4,"No",93.853,4,2342,0,4,12,899,"True",2342,1583,103,8,1583,"Business and Financial Operations Occupations","True",20286,"","Undergraduate Degree",0,9,20289,0
8,3,"Female",1,4,0,"No",15.962,900,10,8,0,"Yes",50.035,0,2343,0,4,10,900,"True",2343,1585,103,8,1585,"Unemployed, Retired, Homemaker","True",20283,"","High School",0,8,20285,22
10,1,"Male",3,4,3,"No",33.646,720,100,1,0,"Yes",39.46,0,2345,0,4,4,720,"True",2345,1265,103,8,1265,"Education, Training, and Library Occupations","True",20287,"","Graduate Degree",0,5,20290,0
12,1,"Female",2,4,0,"Dont know",33.115,971,10,8,3,"No",88.809,3,2347,0,4,3,971,"True",2347,1711,103,8,1711,"Education, Training, and Library Occupations","True",20302,"","Undergraduate Degree",0,5,20305,0
11,2,"Male",1,4,0,"No",21.151,768,100,10,6,"No",29.871,6,2348,0,4,6,768,"True",2348,1009,103,8,1009,"Student, Trainee","True",20295,"","High School",0,8,20297,0
10,1,"Male",2,3,0,"No",20.963,1079,100,1,5,"No",48.49,5,2349,0,3,8,1079,"True",2349,1903,103,8,1903,"Construction and Extraction Occupations","True",20298,"","Undergraduate Degree",0,8,20300,0
15,1,"Male",3,5,0,"No",83.062,1050,103,10,5,"Yes",183.689,5,2350,0,5,91,1050,"True",2350,1665,103,8,1665,"Other","True",20313,"","Graduate Degree",0,8,20316,46
10,1,"Male",1,4,1,"No",38.678,667,95,8,1,"No",21.581,1,2351,0,4,4,768,"True",2351,1366,103,8,1351,"Education, Training, and Library Occupations","True",20315,"","Undergraduate Degree",0,5,20320,0
10,1,"Male",1,5,17,"No",36.896,767,103,8,0,"Yes",64.62,0,2352,0,5,4,767,"True",2352,1349,103,8,1349,"Production Occupations","True",20307,"","Undergraduate Degree",0,9,20310,0
17,1,"Male",1,3,0,"No",21.367,1376,1000,10,5,"No",48.289,5,2353,0,3,7,1376,"True",2353,2543,103,8,2543,"Office and Administrative Support Occupations","True",20309,"","Undergraduate Degree",0,9,20311,0
13,1,"Male",3,4,0,"No",16.403,768,1000,10,3,"No",26.143,3,2354,0,4,7,768,"True",2354,1351,103,8,1351,"Healthcare Practitioners and Technical Occupations","True",20322,"","Undergraduate Degree",0,8,20324,0
10,2,"Female",1,3,0,"No",32.17,1080,103,10,1,"No",85.03,1,2355,0,3,5,1080,"True",2355,1903,103,8,1903,"Unemployed, Retired, Homemaker","True",20314,"","Undergraduate Degree",0,6,20318,0
9,1,"Female",2,4,0,"No",19.859,800,10,1,5,"No",47.86,5,2356,0,4,6,800,"True",2356,1280,103,8,1280,"Management Occupations","True",20323,"","Undergraduate Degree",0,4,20325,0
13,1,"Male",1,3,0,"No",31.452,900,10,8,6,"Yes",44.944,6,2358,0,3,3,900,"True",2358,1425,103,8,1425,"Other","True",20326,"","Undergraduate Degree",0,5,20327,0
13,1,"Male",2,3,4,"No",19.271,767,10,7,2,"No",36.727,2,2359,0,3,5,767,"True",2359,1349,103,8,1349,"Unemployed, Retired, Homemaker","True",20330,"","High School",0,7,20331,0
12,1,"Male",2,4,0,"No",28.608,936,1100,95,1,"No",70.355,1,2361,0,4,10,936,"True",2361,1649,103,8,1649,"Computer and Mathematical Occupations","True",20335,"","Undergraduate Degree",0,6,20337,0
13,1,"Female",3,2,2,"No",40.629,768,10,8,1,"No",113.869,1,2363,0,2,3,768,"True",2363,1351,103,8,1351,"Healthcare Practitioners and Technical Occupations","True",20340,"no comments","Undergraduate Degree",1,8,20343,11
13,1,"Male",2,4,0,"No",32.068,1080,103,10,5,"No",82.863,5,2366,0,4,5,1080,"True",2366,1905,103,8,1905,"Unemployed, Retired, Homemaker","True",20348,"","Undergraduate Degree",0,5,20350,0
14,3,"Male",2,3,0,"No",97.913,1080,103,8,2,"Yes",273.215,2,2367,0,3,6,1080,"True",2367,1905,103,8,1905,"Student, Trainee","True",20357,"I'm not that great at math and I was struggling to come up with an answer, but then I tried using the graph and I think that really helped.","Graduate Degree",0,8,20366,259
11,1,"Male",2,4,0,"No",28.812,1080,1000,10,0,"No",67.092,0,2369,0,4,6,1080,"True",2369,1905,103,8,1905,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20353,"","Undergraduate Degree",0,6,20355,0
10,2,"Male",1,4,0,"No",15.793,1080,1000,8,0,"Yes",98.842,0,2370,0,4,5,1080,"True",2370,1905,103,8,1905,"Unemployed, Retired, Homemaker","True",20360,"","High School",0,6,20363,0
11,1,"Female",1,5,0,"No",22.53,1068,1000,10,4,"No",79.759,4,2371,0,5,6,1068,"True",2371,1905,103,8,1905,"Legal Occupations","True",20361,"","Graduate Degree",0,6,20364,0
10,1,"Male",3,3,0,"No",22.701,1080,1000,10,1,"Unsure",68.735,1,2372,0,3,10,1080,"True",2372,1905,103,8,1905,"Other","True",20362,"","High School",0,10,20365,0
13,1,"Male",2,3,0,"No",25.619,900,100,1,0,"No",106.801,0,2373,0,3,4,900,"True",2373,1585,103,8,1585,"Computer and Mathematical Occupations","True",20367,"","Undergraduate Degree",0,6,20369,0
12,3,"Male",3,4,0,"No",26.5,864,1000,10,1,"No",97.737,1,2374,0,4,7,864,"True",2374,1524,103,8,1524,"Other","True",20370,"","Undergraduate Degree",0,6,20372,0
17,1,"Female",1,4,0,"No",30.669,1079,1000,8,2,"Yes",102.392,2,2375,0,4,5,1079,"True",2375,1920,103,8,1920,"Food Preparation and Serving Related Occupations","True",20373,"It was confusing, that's for sure. ","Undergraduate Degree",0,5,20374,36
14,1,"Male",4,4,0,"No",65.206,767,1000,10,2,"Yes",58.642,2,2376,0,4,6,767,"True",2376,1007,103,8,1007,"Office and Administrative Support Occupations","True",20377,"I counted the orange circles. The number should be close to 10, barring an unusual sample of 1,000.","High School",20,5,20381,138
14,1,"Male",1,3,0,"No",38.266,900,10,8,1,"No",39.232,1,2377,0,3,4,900,"True",2377,1585,103,8,1585,"Student, Trainee","True",20379,"","High School",0,5,20380,0
13,2,"Female",4,4,0,"No",63.35,899,1000,10,3,"No",85.333,3,2381,0,4,10,899,"True",2381,1440,103,8,1440,"Sales and Related Occupations","True",20388,"At a glance the data seemed to back up the stated rate of 10 in 10000 so I stuck with that statistic.","Graduate Degree",0,7,20389,123
11,1,"Female",1,4,0,"No",26.914,1200,103,10,3,"Yes",193.253,3,2382,0,4,5,1200,"True",2382,1905,103,8,1905,"Student, Trainee","True",20393,"","Undergraduate Degree",0,5,20395,0
10,2,"Male",3,5,0,"No",57.977,800,10,8,0,"No",62.258,0,2383,0,5,3,800,"True",2383,1280,103,8,1280,"Business and Financial Operations Occupations","True",20392,"Rough estimate from the two statistic.","High School",0,8,20394,39
6,1,"Male",4,4,0,"No",15.798,800,1000,10,6,"Yes",21.348,6,2384,0,4,7,800,"True",2384,1280,103,8,1280,"Sales and Related Occupations","True",20397,"","Undergraduate Degree",0,4,20398,0
11,1,"Male",1,2,1,"No",25.27,768,1000,10,4,"No",73.872,4,2385,0,2,7,768,"True",2385,1351,103,8,1351,"Computer and Mathematical Occupations","True",20404,"","Undergraduate Degree",0,4,20405,0
13,1,"Female",3,3,0,"No",28.541,799,1000,10,6,"No",35.905,6,2386,0,3,6,799,"True",2386,1265,103,8,1265,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20401,"","Graduate Degree",0,6,20403,0
12,2,"Male",2,4,1,"No",28.02,600,1000,10,6,"Yes",127.142,6,2387,0,4,12,600,"True",2387,1009,103,8,1009,"Unemployed, Retired, Homemaker","True",20406,"","High School",0,6,20407,0
10,3,"Female",1,5,1,"No",21.496,768,1000,10,0,"Yes",38.89,0,2388,0,5,8,768,"True",2388,1351,103,8,1351,"Unemployed, Retired, Homemaker","True",20409,"","High School",0,7,20410,0
12,1,"Female",2,4,1,"No",37.797,768,1000,10,3,"No",103.728,3,2389,0,4,6,768,"True",2389,1351,103,8,1351,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20413,"","Undergraduate Degree",0,4,20414,0
10,1,"Female",1,3,1,"No",18.801,768,1000,10,5,"No",65.119,5,2392,0,3,6,768,"True",2392,1351,103,8,1351,"Education, Training, and Library Occupations","True",20418,"","Undergraduate Degree",0,6,20422,0
10,2,"Female",1,4,1,"No",16.205,768,10,8,2,"No",76.395,2,2393,0,4,4,768,"True",2393,1351,103,8,1351,"Unemployed, Retired, Homemaker","True",20421,"","High School",0,6,20423,0
14,1,"Male",1,4,0,"No",85.98,1024,10,1,1,"No",86.069,1,2394,0,4,3,1024,"True",2394,1265,103,8,1265,"Computer and Mathematical Occupations","True",20424,"The amount of numbers provided was overwhelming and scared me a bit. It was difficult to find an exact answer without knowing how to set up the problem.","Graduate Degree",0,5,20429,168
10,1,"Male",4,4,0,"No",17.565,1050,10,2,3,"No",24.319,3,2395,0,4,4,1050,"True",2395,1665,103,8,1665,"Student, Trainee","True",20427,"","Professional School",0,5,20428,0
14,1,"Male",5,5,0,"No",17.737,768,10000,80,3,"Yes",297.811,3,2396,0,5,8,768,"True",2396,1351,103,8,1351,"Student, Trainee","True",20432,"","Undergraduate Degree",0,4,20433,0
12,1,"Male",2,4,0,"No",33.679,799,1000,10,3,"Yes",56.117,3,2399,0,4,7,799,"True",2399,1263,103,8,1263,"Education, Training, and Library Occupations","True",20435,"","Graduate Degree",0,4,20437,0
11,2,"Male",1,2,0,"No",45.822,900,105,70,2,"No",198.879,2,2400,0,2,9,900,"True",2400,1425,103,8,1425,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20440,"","Undergraduate Degree",0,10,20442,0
17,1,"Male",4,4,3,"No",94.7,768,100,1,6,"Yes",299.659,6,2402,0,4,4,768,"True",2402,1351,103,8,1351,"Student, Trainee","True",20446,"","High School",0,5,20448,19
14,1,"Male",3,3,13,"No",48.177,767,10,8,3,"No",163.445,3,2403,0,3,3,767,"True",2403,1349,103,8,1349,"Healthcare Practitioners and Technical Occupations","True",20447,"","Undergraduate Degree",5,5,20450,0
17,1,"Male",2,5,1,"No",27.371,720,103,8,5,"Yes",60.924,5,2406,0,5,5,720,"True",2406,1265,103,8,1265,"Protective Service Occupations","True",20454,"","High School",0,4,20455,0
15,1,"Female",1,5,4,"No",32.26,767,1000,10,1,"Yes",99.272,1,2407,0,5,6,767,"True",2407,1349,103,8,1349,"Management Occupations","True",20460,"","Graduate Degree",0,5,20461,0
8,1,"Male",2,3,0,"No",24.978,800,100,10,5,"No",63.718,5,2408,0,3,9,800,"True",2408,1280,103,8,1280,"Healthcare Practitioners and Technical Occupations","True",20458,"","Professional School",6,6,20459,0
11,1,"Male",1,4,0,"No",16.955,1079,10,8,3,"No",77.918,3,2409,0,4,10,1079,"True",2409,1903,103,8,1903,"Business and Financial Operations Occupations","True",20464,"","Undergraduate Degree",0,6,20465,0
8,2,"Female",1,5,0,"No",37.599,800,1000,10,2,"No",41.905,2,2412,0,5,7,800,"True",2412,1265,103,8,1265,"Other","True",20469,"None","Graduate Degree",0,5,20470,5
12,1,"Male",1,3,0,"No",51.115,799,1000,10,5,"No",117.435,5,2414,0,3,6,799,"True",2414,1261,103,8,1261,"Food Preparation and Serving Related Occupations","True",20475,"","High School",0,5,20476,42
14,1,"Male",1,3,0,"No",60.339,768,10,100,4,"Unsure",113.966,4,2415,0,3,5,768,"True",2415,1265,103,8,1265,"Sales and Related Occupations","True",20499,"","Undergraduate Degree",0,5,20523,0
15,1,"Female",2,4,0,"No",59.866,1050,103,8,4,"No",109.973,4,2416,0,4,5,1050,"True",2416,1665,103,8,1665,"Life, Physical, and Social Science Occupations","True",20495,"","Professional School",0,4,20518,0
6,1,"Male",1,5,0,"No",28.777,1050,1000,10,4,"No",103.045,4,2417,0,5,9,1050,"True",2417,1665,103,8,1665,"Computer and Mathematical Occupations","True",20493,"","Undergraduate Degree",0,4,20505,0
10,1,"Male",2,4,0,"No",23.54,768,103,8,4,"Yes",101.375,4,2418,0,4,4,768,"True",2418,1351,103,8,1351,"Business and Financial Operations Occupations","True",20497,"","Undergraduate Degree",0,5,20506,0
12,1,"Male",1,4,23,"No",55.325,719,103,8,4,"Unsure",111.335,4,2419,0,4,4,719,"True",2419,1263,103,8,1263,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20512,"Thank you and good luck with your research.","Undergraduate Degree",0,5,20537,44
11,1,"Female",3,5,0,"No",66.487,1080,103,8,4,"Yes",135.051,4,2421,0,5,10,1080,"True",2421,1905,103,8,1905,"Legal Occupations","True",20524,"Good graphic that explained subject","Professional School",0,6,20563,36
17,3,"Male",2,3,0,"No",42.751,900,100,75,6,"Unsure",56.998,6,2422,0,3,5,900,"True",2422,1585,103,8,1585,"Unemployed, Retired, Homemaker","True",20489,"","High School",0,8,20503,0
10,2,"Male",1,3,0,"No",24.21,900,1000,10,4,"Unsure",26.432,4,2425,0,3,7,900,"True",2425,1585,103,8,1585,"Sales and Related Occupations","True",20488,"","Undergraduate Degree",0,5,20494,0
11,1,"Male",4,4,0,"No",24.803,773,1000,10,5,"No",91.785,5,2426,0,4,7,773,"True",2426,1011,103,8,1011,"Sales and Related Occupations","True",20517,"","Undergraduate Degree",0,5,20530,0
