user_id,LI_94,confidence-1-label,DIV_79,DIV_68,STRONG_85,DIV_82,P_83,input_a1,P_91,STRONG_92,UL_93,BUTTON_116,page1,LI_98,LI_101,confidence-3,confidence-3-label,LI_106,input_a2,LI_109,confidence-5,DIV_84,STRONG_89,wrapper_div2,page1_diagram,illustration_div,STRONG_76,DIV_69,DIV_72,P_75,confidence-4,submit_button_div1,P_80,DIV_66,index-page,wrapper_div,confidence-2,confidence-4-label,bold4,P_73,STRONG_71,STRONG_81,LI_95,DIV_80,P_92,STRONG_93,STRONG_86,DIV_83,P_84,P_74,DIV_73,DIV_70,P_76,DIV_67,STRONG_77,DIV_85,STRONG_90,P_81,STRONG_82,P_71,STRONG_72,STRONG_88,LI_102,LI_107,BUTTON_117,STRONG_91,P_90,DIV_78,UL_94,LI_110,LI_99,confidence-2-label,STRONG_87,confidence-1,DIV_74,DIV_89,STRONG_97,P_96,UL_98,LI_103,BUTTON_121,DIV_77,myModal,modal-footer,enter_full_screen2,confidence-5-label,modal-content,P_70,body,seoquake-seobar-panel,STRONG_84,LI_100,UL_92,LI_97,BUTTON_115,myModalLabel,modal-header,modal-body,page0,DIV_34,LI_96,DIV_81,STRONG_94,DIV_86,DIV_71,P_77,P_82,STRONG_83,P_85,P_93,UL_95,LI_108,BUTTON_118,DIV_38,myerror4,myerror2,P_72,STRONG_244,P_79,STRONG_80,DIV_95,DIV_93,P_89,DIV_98,P_99,DIV_100,STRONG_101,STRONG_108,P_107,STRONG_103,UL_109,LI_122,LI_117,BUTTON_132,LI_93,or_press_button,EM_68,_GPL_e6a00_parent_div,STRONG_247,STRONG_78,STRONG_245,LI_111,EM_67,window,LI_105,STRONG_70,P_69,STRONG_75,DIV_76,STRONG_73,EM_69,P_78,P_88,DIV_87,BUTTON_120,UL_97,STRONG_96,P_87,DIV_88,P_95,LI_113,DIV_49,DIV_65,DIV_35,myerror3,P_86,P_94,STRONG_95,UL_96,LI_104,BUTTON_119,DIV_75
3070,100,,197,,,,,51,5,22,21,41,,,,,,13,79,,,5,,,,,,36,,,55,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,,,,,,,,15,,,,,,,,,,,11,,,,,,16,1,,,,,,,,,2,,8,,,,,,7,13,,1,2,,,3,1,8,8,2,,13,,,,1,,7,14,,9,,,,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,27,,45,21,,48,369,59,,,31,9,,2,25,6,8,,13,,,3,,,81,1,,23,14,1,,1,,,,,,,,189,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,,,1,,,,,63,,,,,,,,,,,13,,5,1,4,,329,1,,,,25,,,,,7,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,16,,,,,,5,,,,,,,,,,,,,,,11,142,10,4,18,4,,,1,,24,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,4,,88,12,,,,33,1,2,24,12,,5,7,,,23,25,13,1,5,8,9,7,,,2,,,,,,,,,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063,7,,94,15,1,7,5,39,5,6,1,17,,,16,3,5,8,16,24,17,2,6,,22,2,,11,3,3,2,,,1,14,,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,7,11,47,,2,,,,,,,,,3,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,64,16,438,27,21,25,26,80,11,34,17,22,,25,,,,,57,,,25,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,16,,,,,,,,,7,16,63,,5,,,,,,,,,5,10,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,2,1,269,27,,35,651,87,18,2,29,10,,2,37,,1,3,2,29,16,20,,29,42,5,5,39,262,4,1,,2,7,,,,10,,893,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,21,1,154,24,,,,30,7,,3,11,,,,,,,13,44,10,3,,,398,6,13,48,19,20,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,10,,121,22,,3,12,33,5,17,,19,,,30,10,,,22,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,18,,224,11,1,,,52,3,20,11,4,,,25,10,4,,95,,,3,,,,15,,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,15,2,168,8,,14,14,29,,2,28,29,,10,6,2,2,,2,,,,,,270,,,2,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,24,,295,15,1,175,413,32,,16,6,12,59,,9,,,19,27,,,14,7,,774,29,14,84,52,52,5,,3,5,27,,,5,,117,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051,29,7,110,6,1,,,26,5,11,18,55,,17,,,,,28,,,1,,,248,5,,5,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,,,,,,,,46,,,,,64,,,13,6,,82,,,,,,251,,,88,,,,,,,,,,,,,,,,222,11,13,,,,,,7,,,,4,5,,,,,,88,,34,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,2,,55,22,,20,,28,,,,11,,1,2,,,13,,,,,,,198,1,,4,,2,3,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,6,,71,19,5,,,32,3,2,1,11,,,25,5,6,3,16,,,1,,,31,1,,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,17,,217,167,,17,24,29,2,7,49,19,,28,77,33,12,4,17,1,,11,,,51,,,4,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,,,,,,,,16,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,49,,,,,,,,,,,,3,,65,,,,,,,,,,,,,,,,,,7,,,,,,6,11,4,19,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039,17,1,202,37,9,,,118,7,7,9,39,,,16,,,2,86,39,11,35,11,52,52,14,1,43,10,9,,,,4,17,,,,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,3,,37,,,,,37,,5,,12,,,5,2,,10,31,,,4,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,,,,,,,,389,,,,,,,,,,,178,,29,,,380,1021,66,,752,,,16,,,,,42,,,,,,,1,887,9,42,66,13,,1,12,172,72,,,68,,,,,,47,69,83,87,,,9,108,44,14,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3036,,,,,,,,62,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,18,73,4,18,7,14,33,,,13,,,,3,,,,,,,2,31,18,,,,12,10,,,,,,,,,,,,,14,3,6,,3,,,,,,,,,4,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,8,1,48,2,1,5,31,33,,,1,18,,1,18,5,,,19,,,11,,,549,4,3,8,6,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,,,,,,,,27,,,,,,,,14,9,,5,,,,,,46,3,,,,,,,,,,,,,,,,,16,139,1,1,,13,16,2,2,16,7,,,,,,,,,,38,,19,,,1,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033,23,,123,48,17,,,50,5,9,16,64,,5,47,10,14,,5,,,9,,,131,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,,,,,,,,48,,,,,,,,,,,41,,,,,,,,,280,,,,,,,,,11,,,,,,25,92,1,3,,,,,,,,,,1,,,,,,,,,11,,,,10,,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,36,,148,,6,17,33,59,6,26,29,13,,,3,,,6,10,,,5,,,54,5,,29,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,113,7,667,,2,,,85,6,6,89,17,,,95,16,6,50,43,12,,11,9,97,514,,,32,,,3,,,,47,76,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,,,,,,,,222,,,,,,,,,,,219,,12,,,,395,33,,54,,,2,,,,,,,5,,,,,60,554,11,26,94,27,,,,59,,,,38,,,,,,33,34,5,35,,,8,49,44,,,,3,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,,,125,239,,4,4,7,1,3,8,8,280,25,16,2,2,36,22,10,,11,4,88,20,1,,33,,1,12,,,3,5,,2,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,6,22,1,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3023,5,5,94,27,3,,,13,,1,5,27,,1,24,6,12,25,22,,,,,,46,12,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,,,,,,,,71,,,,,28,,,,8,,43,,,,,,416,2,,108,,,11,,,,,,1,,,,,,18,201,6,5,3,34,26,71,40,29,5,,,1,,3,7,,,2,4,9,12,,,1,29,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,,4,,,,,,43,,,,,,,,6,,,,,,,,,67,,,12,,,,,,,,,,,,,,,7,175,2,7,18,,,,,15,,,,19,,,,,,25,53,,14,,,,26,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,13,,132,31,3,1,5,55,1,4,,6,,,,,,1,81,7,8,16,,,6,10,,27,5,15,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,24,,138,11,,,,38,1,7,13,12,,,13,15,6,20,,23,,,,,66,,,6,,,15,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,,,,,,,,24,,,,,,,,,,,,,3,,,,48,1,,30,,,,,,,,,,,,,,,5,77,2,5,,,,8,4,10,3,,,,,,,,,,1,3,19,,,,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,1,,462,,24,82,83,82,20,28,71,16,,2,25,,,13,34,27,13,34,9,,35,3,,114,4,61,3,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,3,,68,,6,14,33,103,,,12,15,,,1,,,16,34,9,,9,,,53,1,1,22,61,1,10,,,,,,,,,575,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,2,,50,,,,,41,1,3,2,12,,,26,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,,,,,,,,19,,,,,,,,17,5,,,,,,,,,,,89,,,14,,,,,,,13,,,,,16,109,1,3,,,,,,,,,,1,,,,,,,32,13,25,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3009,20,2,82,138,30,,,35,,2,6,35,4,6,15,18,,,58,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,,,,,,,,120,,,,,,,,19,,,22,,,,,,270,9,,63,,,,,,,,,13,,,,,,32,111,2,17,20,15,363,712,28,44,2,,23,37,,,,,,11,39,,19,,,,16,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,8,,90,,4,3,17,62,1,7,2,13,,,7,,,12,45,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,,1,,,,77,,14,,,,,,,3,7,,,17,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9,40,23,76
3005,,,,,,,,104,,,,,,,,,,,89,,,,,,,,,89,,,,,,,,,5,,,,,,40,111,2,13,64,3,,3,2,3,,,,21,,,,,,7,,,15,,,,15,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,2,,128,56,,35,38,55,3,,4,31,19,,,,,5,15,15,4,5,,,256,1,,3,1,1,10,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,,,,,,,,16,,,,,,,,7,5,,,,,,,,18,13,,11,,,,,,,,,,,,,,,6,94,,2,,,,,,22,8,,,,,,,,,,24,22,12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,19,11,331,332,,258,883,129,2,1,5,14,83,11,5,,,42,21,,,2,,,,,,64,159,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,3,,122,18,,66,484,51,1,5,1,31,,1,58,30,12,,18,,,19,4,4,,,,3,160,,,,,,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,,,,,,,,17,,,,,64,,,,,,22,,,,,,,,,294,,,12,,,,,,,,,,,,5,148,,,,,,,,,,,,9,,,,,,,,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
